Ecosystem,Namespace,Name,Version,Artifact,Published,Detected
npm,@im_ahsan,chatbot-widget,0.0.81,,2026-07-09T12:33:38.904Z,2026-07-09T12:38:59.625Z
npm,@im_ahsan,chatbot-widget,0.0.82,,2026-07-09T12:44:09.287Z,2026-07-09T12:48:58.947Z
npm,@muhammadahsan100d,chatbot-widget,0.0.82,,2026-07-09T14:02:35.807Z,2026-07-09T14:08:26.335Z
npm,@muhammadahsan100d,chatbot-widget,0.0.83,,2026-07-09T14:32:01.305Z,2026-07-09T14:37:45.956Z
npm,@muhammadahsan100d,chatbot-widget,0.0.84,,2026-07-09T15:18:57.770Z,2026-07-09T15:23:27.754Z
npm,@muhammadahsan100d,chatbot-widget,0.0.85,,2026-07-09T15:38:38.845Z,2026-07-09T15:43:30.936Z
npm,@joyfill,layouts,0.1.2-2773.beta.0,,2026-07-28T10:54:57.311Z,2026-07-28T12:46:44.180Z
npm,@joyfill,components,4.0.0-rc24-2773-beta.4,,2026-07-28T11:03:59.568Z,2026-07-28T13:29:23.338Z
npm,@lambda-platform,lambda-vue,3.3.24,,2026-08-07T07:29:45.155Z,2026-08-07T07:59:24.188Z
golang,github.com/iyiolaosuagwu,io-password-strength,v0.0.0-20251110051740-ee545f2ff050,,2025-11-10T05:17:40.000Z,2026-08-07T11:14:07.520Z
golang,github.com/iyiolaosuagwu,io-password-strength,v0.0.0-20260813185022-24e51487a1a7,,2026-08-13T18:50:22.000Z,2026-08-17T12:53:47.975Z
